Respondent ID,Identify which division you work in.,Unnamed: 8,Which of the following best describes your position level?,Which generation are you apart of?,Please select the gender in which you identify.,Which duration range best aligns with your tenure at your company?,Which of the following best describes your employment type?,Question + Subquestion,Answer,Question,Respondents,Same Answer
,Response,Other (please specify),Response,Response,Response,Response,Response,Question 1,Response,,,0.0
5379192392.0,Infrastructure,,Staff,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1,,,,0.0
2658722536.0,Finance,,Staff,,,10+ years,Full time Employee,Question 1,Answer 4,,,17.0
4044163394.0,Infrastructure,,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1,Answer 5,,,22.0
5535865599.0,Infrastructure,,Manager,Millennial (born between 1981-2000),Non-Binary,5-10 years,Full time Employee,Question 1,Answer 1,,,14.0
3356802928.0,Port Operations,,Manager,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1,,,,0.0
3399511781.0,Infrastructure,,Staff,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1,Answer 8,,,16.0
9860597462.0,Infrastructure,,Department Lead,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1,Answer 8,,,16.0
1494621946.0,Infrastructure,,Chief / Executive,Baby Boomer (born between 1946-1964),Male,3-5 years,Full time Employee,Question 1,,,,0.0
8646387163.0,Information Technology,,Manager,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1,Answer 3,,,13.0
2455127238.0,Information Technology,,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1,Answer 4,,,17.0
1905266879.0,Finance,,Staff,Prefer not to answer,Female,0-2 years,Full time Employee,Question 1,,,,0.0
7089369660.0,Finance,,Staff,Baby Boomer (born between 1946-1964),,10+ years,Full time Employee,Question 1,Answer 2,,,10.0
3397360934.0,Legal,,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1,Answer 7,,,11.0
6904821010.0,Other (please specify),Construction ,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1,Answer 5,,,22.0
9961006444.0,Executive,,Staff,Prefer not to answer,Prefer not to answer,0-2 years,Full time Employee,Question 1,,,,0.0
9736526482.0,Finance,,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1,,,,0.0
8035211358.0,Commercial,,Manager,Prefer not to answer,Prefer not to answer,5-10 years,Full time Employee,Question 1,Answer 1,,,14.0
2855503402.0,Finance,,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1,,,,0.0
4136037887.0,Finance,,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1,Answer 3,,,13.0
9624253323.0,Infrastructure,,Staff,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1,Answer 3,,,13.0
8546027678.0,Finance,,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1,,,,0.0
3555213031.0,Legal,,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1,Answer 3,,,13.0
1754220060.0,Finance,,Department Lead,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1,Answer 4,,,17.0
9011744859.0,Infrastructure,,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1,Answer 2,,,10.0
5875585727.0,Information Technology,,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1,Answer 1,,,14.0
9051604151.0,Commercial,,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1,,,,0.0
6573346680.0,Commercial,,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1,,,,0.0
4383571615.0,Infrastructure,,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1,Answer 5,,,22.0
5850350235.0,Infrastructure,,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1,,,,0.0
9526771290.0,Port Operations,,Manager,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1,Answer 2,,,10.0
8531180699.0,People,,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1,,,,0.0
3087114007.0,Information Technology,,Staff,Baby Boomer (born between 1946-1964),Male,3-5 years,Full time Employee,Question 1,Answer 5,,,22.0
7901328134.0,Information Technology,,Staff,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1,,,,0.0
1321967343.0,Legal,,Department Lead,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 1,Answer 7,,,11.0
2206081204.0,People,,Staff,Generation X (born between 1965-1980),Female,3-5 years,Full time Employee,Question 1,Answer 7,,,11.0
6285875694.0,Commercial,,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1,Answer 4,,,17.0
1587370284.0,Finance,,Chief / Executive,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1,,,,0.0
9270992319.0,Information Technology,,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1,,,,0.0
2888589302.0,Executive,,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1,,,,0.0
9939738223.0,Finance,,Department Lead,Baby Boomer (born between 1946-1964),Female,5-10 years,Full time Employee,Question 1,,,,0.0
5794920197.0,Legal,,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1,,,,0.0
3968415666.0,Legal,,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Question 1,Answer 4,,,17.0
4166850362.0,Infrastructure,,Staff,Generation X (born between 1965-1980),Prefer not to answer,10+ years,Full time Employee,Question 1,Answer 7,,,11.0
9945822370.0,Finance,,Staff,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1,,,,0.0
1948472863.0,People,,Department Lead,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 1,Answer 8,,,16.0
2603687810.0,Infrastructure,,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1,,,,0.0
2696474434.0,Infrastructure,,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1,Answer 3,,,13.0
3044612158.0,Finance,,Staff,Baby Boomer (born between 1946-1964),Female,3-5 years,Full time Employee,Question 1,,,,0.0
3040325972.0,Finance,,Staff,,Female,10+ years,Full time Employee,Question 1,,,,0.0
3618961108.0,Infrastructure,,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1,Answer 8,,,16.0
3536054852.0,Commercial,,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 1,,,,0.0
4075412109.0,Finance,,Staff,Prefer not to answer,Prefer not to answer,3-5 years,Full time Employee,Question 1,,,,0.0
7481772195.0,Information Technology,,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1,Answer 1,,,14.0
5044294817.0,Legal,,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1,Answer 6,,,16.0
3120678959.0,Finance,,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 1,,,,0.0
6316782091.0,Finance,,Manager,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1,Answer 6,,,16.0
9489935616.0,People,,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1,,,,0.0
7178840935.0,People,,Department Lead,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1,,,,0.0
4625088666.0,Finance,,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1,,,,0.0
2899153341.0,Executive,,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1,Answer 6,,,16.0
5081486733.0,Port Security & Emergency Operations,,Manager,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1,,,,0.0
4211032639.0,Infrastructure,,Staff,Baby Boomer (born between 1946-1964),Female,5-10 years,Full time Employee,Question 1,,,,0.0
2273018449.0,Finance,,Manager,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1,Answer 4,,,17.0
7276390477.0,Information Technology,,Staff,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1,,,,0.0
2618791107.0,Infrastructure,,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1,Answer 1,,,14.0
9806028857.0,,,,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1,Answer 5,,,22.0
4870706994.0,Commercial,,Staff,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Question 1,Answer 6,,,16.0
5382550855.0,Finance,,Department Lead,Baby Boomer (born between 1946-1964),Male,0-2 years,Full time Employee,Question 1,,,,0.0
5297870739.0,Commercial,,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1,,,,0.0
9718877248.0,Infrastructure,,Manager,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1,,,,0.0
8830958949.0,Finance,,Staff,Prefer not to answer,Prefer not to answer,3-5 years,Full time Employee,Question 1,,,,0.0
7852677398.0,People,,Manager,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1,Answer 2,,,10.0
9806832932.0,Executive,,Chief / Executive,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1,,,,0.0
5585138853.0,Executive,,Manager,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Question 1,Answer 5,,,22.0
8087395217.0,Infrastructure,,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Question 1,Answer 4,,,17.0
5177954332.0,Finance,,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 1,Answer 6,,,16.0
1582292985.0,People,,Chief / Executive,Millennial (born between 1981-2000),Female,10+ years,Full time Employee,Question 1,,,,0.0
